allele	cell_id	pos	x	y	z
129	5	4	101174.157373823	30033.1453485267	4564.43531211461
129	5	5	101158.653484458	29859.9227350879	4379.73929645999
129	5	7	101271.919044447	30132.7213609034	4567.77146673906
129	5	8	101240.188123074	30122.1798029672	4533.61145621484
129	5	9	100943.667185674	29754.0836308442	4295.00977929379
129	5	10	100951.897218137	30186.6683716422	4388.53781218394
129	5	11	100970.60288791	30236.6414211292	4326.95500641046
129	5	13	100956.225151612	30090.6041356133	4563.64493786024
129	5	14	100902.418712869	29845.8435397595	4694.60163538118
129	5	16	100894.104764264	29861.8730602682	4762.71566714331
129	5	17	100939.721488944	29878.5588723197	4753.3394821793
129	5	18	101181.483454379	30362.3136889079	4550.68694799089
129	5	19	100983.776507583	29889.8078126931	4622.94339044823
129	5	20	100943.562129646	29930.0408025218	4637.12108180038
129	5	23	100963.051713489	29928.5185374854	4717.43624790698
129	5	25	100960.225671681	29940.0576099027	4684.49800507734
129	5	27	101041.547169652	30150.7677854267	4463.03736532257
129	5	28	101106.513283853	29627.2556926762	4268.48374199421
129	5	29	101117.610673788	29647.5572151941	4228.93996304842
129	5	30	101122.444859768	29703.0845846064	4286.50093421311
129	5	31	101038.36767566	29786.5166293063	4392.47039859204
129	5	32	101230.534349561	29914.0283347875	4449.44103107551
129	5	33	101013.906701188	29862.0864918824	4632.68400797705
129	5	34	101015.776200187	29852.4154426496	4574.45569552737
129	5	35	101084.605072357	29970.9661024444	4642.42466195472
129	5	36	100958.563711221	29731.3145027869	4983.19280762455
129	5	37	100858.663202484	29714.3711922358	4907.4006700368
129	5	38	100712.289638072	29679.9712054381	4834.31991279295
129	5	39	101146.115513689	29790.5617560298	4614.0437990404
129	5	40	101273.493969341	29975.0795486224	4303.60571628377
129	22	0	166479.765862057	64060.2933421208	5239.15720917178
129	22	1	166331.433806494	64239.7144964534	5370.06214546851
129	22	2	166326.142036757	64115.3426002995	5376.58291889785
129	22	5	166399.003258102	64033.2612903263	5580.80421518912
129	22	7	166292.056829157	64159.0195654386	5511.21339592555
129	22	8	166316.363566721	64019.5636075126	5437.0341692711
129	22	9	166431.319270351	63980.2269177913	5694.8907796594
129	22	10	166482.460727923	63962.1499002447	5832.72182616453
129	22	11	166441.308928367	63991.227890198	5778.00969128768
129	22	12	166364.85227992	64011.7389070232	5400.19283154909
129	22	14	166491.33774562	63873.2126941555	5638.60677395125
