allele	cell_id	pos	x	y	z
CAST	32	6	107541.68940008	84166.2763004767	1412.81722124349
CAST	32	7	107615.097757344	84134.297121799	1482.18564076242
CAST	32	8	107620.369213278	84152.0449749793	1507.63170689834
CAST	32	9	107688.376399914	84364.2980519333	1571.5460485021
CAST	32	10	107506.392786552	84432.0817672486	1332.52198243382
CAST	32	13	107590.967773602	84337.4280928168	1734.40237349149
CAST	32	15	107709.526092935	84429.1423759156	1754.17983659364
CAST	32	17	107450.705177011	84507.8837193445	1617.49525704657
CAST	32	18	107364.23182284	84423.8745938049	1777.20022958036
CAST	32	19	107905.580302558	84308.0415844576	1459.20874808932
CAST	32	20	107707.179785286	84362.3356039298	1722.42057855988
CAST	32	21	107742.66478694	84333.0244878256	1608.46086836344
CAST	32	24	107726.555067536	84410.1936335838	1623.07432745494
CAST	32	25	107642.276142353	84356.2741708698	1547.5952945825
CAST	32	26	107696.697944658	84235.9584969766	1401.9377212722
CAST	32	27	107657.364219421	84278.8921136804	1537.33699075719
CAST	32	28	107636.268873457	84313.2237829789	1492.92151023052
CAST	32	29	107546.424161018	84310.0157599696	1530.60671335657
CAST	32	30	107808.088151857	84334.8898591379	1390.14252462838
CAST	32	31	107718.684044207	84303.5854086461	1514.29376830817
CAST	32	32	107501.574471214	84337.6717506806	1487.01651636109
CAST	32	33	107736.77611737	84323.1696148224	1482.36697126996
CAST	32	34	107736.855286647	84453.9685758204	1664.7821718596
CAST	32	35	107848.362427907	84281.8425902874	1497.80943902778
CAST	32	36	107801.556287393	84418.1551956844	1467.29803332683
CAST	32	37	107720.848622523	84320.0920806116	1622.17940599044
CAST	32	38	107824.980850727	83904.673427414	1866.5332914652
CAST	32	39	107793.760496736	84325.0073813542	1638.08507424102
CAST	32	40	107816.769791868	84314.6306859368	2093.39375819967
CAST	35	0	14335.2868882366	87928.9963358447	4569.01150383521
CAST	35	1	14307.8932956983	87885.1992760282	4583.23451755544
CAST	35	6	14192.8002257961	87843.3780795908	4598.62224682559
CAST	35	7	14084.3436791046	87782.4244171945	4544.52511815336
CAST	35	9	14134.7841305921	87819.8297440165	4604.46571610073
CAST	35	13	14283.9900392727	87754.4848287732	4268.71456604551
CAST	35	14	14270.8593504572	87769.7289118929	4278.28296777895
CAST	35	15	14283.6749280249	87743.2063454159	4296.26503676425
CAST	35	16	14223.464879372	87738.8316210294	4313.59829141054
CAST	35	17	14243.9634850513	87789.5204351134	4239.85673684896
CAST	35	18	14031.2028111614	87929.3923963928	4100.46768909384
CAST	35	19	14216.3298444303	87990.3486145175	4381.88431671298
CAST	35	20	14278.7530222429	87859.4675584902	4384.24544676305
CAST	35	21	14085.9096976663	87900.1925630282	4409.36742407988
CAST	35	23	14251.5140747959	87950.0897413491	4463.67461028835
CAST	35	24	14257.3707016114	87908.9254470963	4457.73445981751
CAST	35	26	14239.9534993163	87942.2677899603	4458.24659036018
CAST	35	27	14204.7513119762	87894.0366831829	4482.68518631924
