hyb	chr_num	allele	cell_id	z	x	y	z.hat	x.hat	y.hat
26	1643	CAST	10064	12658.7645623868	61196.2995528679	213895.140738544	65.0545926016254	562.922978466722	1960.97165601857
29	1643	CAST	10064	12869.3368639626	61153.1899363845	213474.626866258	66.1074541095043	562.527477398066	1957.11373058476
30	1643	CAST	10064	12623.4639455385	61175.1457440295	213687.966912382	64.8780895173838	562.728906826002	1959.07097871434
31	1643	CAST	10064	12754.7193406367	61122.3981759487	213729.120083336	65.5343664928752	562.24498418306	1959.44853074144
32	1643	CAST	10064	12591.8772101684	61125.6023271794	213759.332350635	64.7201558405333	562.274380065909	1959.72570750565
33	1643	CAST	10064	12555.7515590563	61124.8459728188	213712.936444285	64.5395275849731	562.267441035079	1959.30005698867
34	1643	CAST	10064	12518.1817295045	61191.8148138772	213836.096301579	64.3516784372142	562.881834072311	1960.42996393633
35	1643	CAST	10064	12426.2320836398	61223.5314945371	213746.741660954	63.8919302078907	563.172812793962	1959.61019659114
37	1643	CAST	10064	12801.888619982	61352.5190032673	213579.302331738	65.7702128896016	564.356184433688	1958.07405595613
38	1643	CAST	10064	12499.1303583847	61266.5620277854	213783.17389177	64.2564215816151	563.56758832835	1959.94443724083
3	1675	CAST	11015	5843.70264457144	40369.8218559247	101237.623625363	30.9792830125487	371.854375742473	927.416453145353
4	1675	CAST	11015	5769.40568801197	40387.2616050918	101281.365422225	30.6077982297513	372.014373441253	927.817754034
5	1675	CAST	11015	5825.09222032536	40465.3048510027	101231.355956203	30.8862308913183	372.730366523004	927.35895159343
6	1675	CAST	11015	6135.69066902404	40458.3972824143	101158.171062546	32.4392231348117	372.66699433412	926.687530550708
7	1675	CAST	11015	6440.85110605054	40265.7161733974	101223.249939363	33.9650253199442	370.899277737634	927.284584466457
8	1675	CAST	11015	6597.00121054301	40170.1619504974	101262.850307908	34.7457758424066	370.022633490846	927.647890599895
9	1675	CAST	11015	6113.46002507531	40332.2495795773	101116.873850424	32.3280699150681	371.509675959469	926.308657044998
14	1675	CAST	11015	6078.83093932487	39910.1956866604	101024.940677748	32.1549244863159	367.637621896011	925.465233442466
15	1675	CAST	11015	6071.78082491498	39940.6213032368	101043.427830288	32.1196739142664	367.916755993042	925.634840346501
16	1675	CAST	11015	5990.77305072217	39882.2686886518	100947.577874642	31.7146350433023	367.381410905106	924.755482955254
17	1675	CAST	11015	6083.4144308189	40016.092708212	101022.047857609	32.177841943786	368.609154203824	925.438693808161
