pos	cell_id	x	y	z	label
39	3	84676.13422989151	29133.377730578595	6908.927749346709	0
40	3	84841.7931734563	29197.1497008105	6871.0694301611	0
0	4	71215.9035497519	29573.703671976702	5424.13945279542	0
1	4	71174.2086363508	29500.71488615	5567.73417548923	0
2	4	71039.27246900236	29309.65359787165	5686.768520472478	0
3	4	70986.46777765185	29246.4388623412	5721.413810303375	0
4	4	70964.4561203776	29166.32634364144	5673.842648132962	0
5	4	71046.52609249894	29136.168562526353	5634.5311766397845	0
6	4	71153.3880755176	28986.8922392494	5580.53819137691	0
7	4	71123.3849943448	29005.011264327404	5726.91576627874	0
8	4	71087.1464950238	28842.0031750713	5753.08105815324	0
9	4	71184.0034144447	29078.7346662481	5754.62225867313	0
10	4	71344.0885154679	29131.9028400553	5385.21472271033	0
11	4	71348.38002892016	29245.061098711853	5717.888750016189	0
12	4	71442.99110242556	29186.36190107314	5749.065301152976	0
13	4	71431.86091032173	29052.355259671924	5742.535507765552	0
14	4	71199.0942977419	28901.2532258665	5851.97199828357	0
15	4	71251.8768791933	28877.2461459594	5658.85731873521	0
16	4	71375.5153133346	28969.415734648675	5755.526206242614	0
17	4	71158.7845903789	28806.360903103297	6016.82886659557	0
18	4	71135.7924699536	28904.3834398836	6023.383814934819	0
19	4	71476.63435310863	29144.63892406458	5844.756253244722	0
20	4	71488.5116546134	29174.2875410854	5398.88336452807	0
21	4	71090.0604744041	28933.8446476369	6133.56788695791	0
22	4	71119.4261872358	28903.8333949595	6120.857243613889	0
23	4	71228.1217444438	29267.432038872146	5860.76906733288	0
24	4	71338.90721460758	29307.425067702865	5845.787731950496	0
25	4	71253.8044122843	29305.6553161277	6152.4060165458395	0
26	4	71489.913974827	29215.5711613252	5536.08301238979	0
27	4	71259.731067898	29120.859193253	6237.785208091969	0
28	4	71330.5438478144	29101.4344804021	5797.28060918596	0
29	4	71378.5874397059	29157.4594178402	5575.66491737522	0
30	4	71230.2346034883	29568.6685853279	5753.48187605979	0
31	4	71261.2511349241	29629.4718701586	5727.47990096514	0
32	4	71343.7497005529	28950.5091398558	5525.43163774371	0
33	4	71313.3843196077	29113.3415761176	5924.25894187798	0
34	4	71270.755682745	29115.6235181581	5954.774072097069	0
35	4	71272.5450911253	29126.8405290087	5735.31052499696	0
36	4	71141.0493546119	29018.529322806397	5193.35887950947	0
37	4	71272.8113626126	29145.5143698171	5823.11671122066	0
38	4	71114.3032959609	29033.640371351	5938.807955765769	0
39	4	71177.5795690202	29215.585542108918	5611.099903271392	0
40	4	71434.4437200458	29031.0673668891	5313.78037591702	0
0	5	101007.03394595007	29977.510610300837	4202.3466672690765	0
1	5	101165.523647526	29958.8602167316	4237.46136040348	0
