pos	cell_id	x	y	z	label
13	4	70111.0206925298	33398.9385536346	7996.593543147381	0
14	4	70128.67336998145	33186.3164977886	7886.143221510112	0
15	4	70193.85916668482	33205.149936133836	7851.2641233499	0
16	4	69855.3727597486	33193.7515133908	7579.897195553291	0
17	4	70039.49555439857	33132.49813682644	7768.905412583197	0
18	4	69774.074495087	33443.627278023	7828.23815637026	0
19	4	69792.95200599686	33226.1062805663	7837.237702483157	0
20	4	69881.8539724743	33149.98351866325	7837.632973203195	0
21	4	69979.3806110713	33156.32194310061	7575.872887511001	0
22	4	69876.5180974534	33065.8016897239	8132.846827322841	0
23	4	69977.40373440742	33097.95555428209	7859.661245827367	0
24	4	70090.0143855555	33009.9253786214	8016.694327276031	0
25	4	70014.8749960477	33154.7382893201	7938.86795107774	0
26	4	70247.3915191888	33291.028759288274	7777.662161842996	0
27	4	69885.4914610778	33172.5934838432	7521.563082559731	0
28	4	70114.11041085106	33208.047518791915	7700.551815749168	0
29	4	70179.0555067968	33266.75111071553	7716.9429469761435	0
30	4	70096.68070278627	33316.674501164154	7789.44786827879	0
31	4	70071.73044553601	33320.898956484634	7717.569940056126	0
32	4	69911.4063296632	33231.1638224895	7583.94355033218	0
33	4	69967.09455582533	33390.57607333122	7710.343882978004	0
34	4	70120.12166845387	33442.23744738679	7775.852852494909	0
35	4	69860.4112015131	33515.0957983054	7772.970659721221	0
36	4	69920.7769969391	33541.9150830197	7633.88995004796	0
37	4	70029.2377011828	33513.7916346342	7696.7033289305	0
38	4	70002.6832389532	33452.5091923351	8049.228287068381	0
39	4	70042.1243794371	33461.4938251809	7990.327966613018	0
40	4	70047.9643878045	33432.381738073	7984.9674483078325	0
0	5	93320.4225510626	25938.7599694122	2326.75603256305	0
1	5	93456.302598437	25764.711913397	2393.11274725392	0
2	5	93180.5612670469	25965.2854565149	2357.45857211663	0
3	5	93133.7513116993	25570.18289680286	2464.6698091796666	0
4	5	93037.8361075488	25625.252485127265	2390.708230049776	0
5	5	93060.90893205529	25846.33130029358	2045.8078607382186	0
6	5	92984.72607715707	25792.806039810395	2101.5800090693624	0
7	5	92929.9499508357	26025.1678206799	2306.0815987947	0
8	5	93210.8103239791	25851.1340259134	2238.58011297193	0
9	5	93182.74505351245	25744.5418248615	2010.9209584631176	0
10	5	93290.3186751655	25818.2085767771	2086.95628064934	0
11	5	93119.5089353347	25725.2500007324	2300.16335559422	0
12	5	93135.0106506447	25725.1351125696	2270.2843339906	0
13	5	93094.5252955508	25649.109142749	2223.1914283116	0
14	5	93172.4501339709	25382.8959240487	2087.81407343088	0
15	5	93193.6755156959	25499.3219176253	2065.15055901695	0
16	5	93472.0286561586	25594.2241820319	2320.96588592687	0
17	5	93528.4365505981	25696.2730986392	2298.35671873835	0
18	5	93472.1612284591	25943.5305053951	2316.11910033869	0
19	5	93408.7916977496	25607.1801199795	2287.55940191678	0
20	5	93364.77455668466	25555.686166359545	2145.362927749373	0
21	5	93236.1710052475	25495.0185681319	1983.8713706941103	0
22	5	93422.5103301983	25580.9094304348	1958.3304798312797	0
23	5	93429.9105524502	25708.8321858467	2171.77142689678	0
24	5	93180.8071634175	25773.2012994485	2240.90212502999	0
25	5	93336.6753450185	25771.836334657	2255.43347560294	0
26	5	93221.2372635033	25658.248481450704	2238.22482359671	0
27	5	93159.1101936427	25649.3196631678	2183.55296459239	0
28	5	93332.5537305999	25792.6504723272	2280.63732857181	0
29	5	93334.9525117901	25793.973637552	2039.32187502653	0
30	5	93315.7678134639	25783.6012653979	2051.80040215281	0
31	5	93345.0238324386	25802.1346733491	2205.8893362335	0
32	5	93375.7159977866	25842.0699342143	2274.28869420629	0
33	5	93228.2084335153	25900.9257441616	2240.38807851399	0
