cell_id	pos	x	y	z
3	34.0	85102.10741941446	28996.519784586504	7209.582342272545
3	35.0	85014.6108103597	28764.7534167744	7092.79967427156
3	36.0	84855.1298189075	28987.155003604403	7121.0202880970955
3	37.0	84695.6488274553	29209.556590434404	7149.24090192263
3	38.0	84685.8915286734	29171.4671605065	7029.08432563467
3	39.0	84676.1342298915	29133.3777305786	6908.92774934671
3	40.0	84841.7931734563	29197.1497008105	6871.0694301611
4	0.0	71215.9035497519	29573.7036719767	5424.13945279542
4	1.0	71174.2086363508	29500.71488615	5567.73417548923
4	2.0	71208.80297769341	29216.625025082696	5354.569821080324
4	3.0	71243.39731903603	28932.535164015393	5141.405466671418
4	4.0	71213.39423786322	28950.654189093395	5287.783041573249
4	5.0	71183.39115669041	28968.773214171397	5434.160616475079
4	6.0	71153.3880755176	28986.8922392494	5580.53819137691
4	7.0	71123.3849943448	29005.0112643274	5726.91576627874
4	8.0	71087.1464950238	28842.0031750713	5753.08105815324
4	9.0	71184.0034144447	29078.7346662481	5754.62225867313
4	10.0	71344.0885154679	29131.9028400553	5385.21472271033
4	11.0	71504.1736164911	29185.0710138625	5015.807186747529
4	12.0	71664.2587175143	29238.2391876697	4646.399650784729
4	13.0	71146.31171629051	28925.2603057736	6045.0866778319305
4	14.0	71199.0942977419	28901.2532258665	5851.97199828357
4	15.0	71251.8768791933	28877.2461459594	5658.85731873521
4	16.0	71205.3307347861	28841.80352453135	5837.84309266539
4	17.0	71158.7845903789	28806.3609031033	6016.82886659557
4	18.0	71135.7924699536	28904.3834398836	6023.38381493482
4	19.0	71312.1520622835	29039.3354904845	5711.133589731446
4	20.0	71488.5116546134	29174.2875410854	5398.88336452807
4	21.0	71090.0604744041	28933.8446476369	6133.56788695791
4	22.0	71119.4261872358	28903.8333949595	6120.85724361389
4	23.0	71148.7919000675	28873.8221422821	6108.146600269871
4	24.0	71017.6948497416	29395.739470930203	6768.7290207018905
4	25.0	71253.8044122843	29305.6553161277	6152.40601654584
4	26.0	71489.913974827	29215.5711613252	5536.08301238979
4	27.0	71259.731067898	29120.859193253	6237.78520809197
4	28.0	71330.5438478144	29101.4344804021	5797.28060918596
4	29.0	71378.5874397059	29157.4594178402	5575.66491737522
4	30.0	71230.2346034883	29568.6685853279	5753.48187605979
4	31.0	71261.2511349241	29629.4718701586	5727.47990096514
4	32.0	71343.7497005529	28950.5091398558	5525.43163774371
4	33.0	71313.3843196077	29113.3415761176	5924.25894187798
4	34.0	71270.755682745	29115.6235181581	5954.77407209707
4	35.0	71272.5450911253	29126.8405290087	5735.31052499696
4	36.0	71141.0493546119	29018.5293228064	5193.35887950947
4	37.0	71272.8113626126	29145.5143698171	5823.11671122066
4	38.0	71114.3032959609	29033.640371351	5938.80795576577
4	39.0	71274.37350800335	29032.353869120052	5626.294165841395
4	40.0	71434.4437200458	29031.0673668891	5313.78037591702
5	0.0	101145.5564948385	29945.832637829248	4031.928942036546
5	1.0	101165.523647526	29958.8602167316	4237.46136040348
5	2.0	101185.4908002135	29971.88779563395	4442.993778770415
5	3.0	101205.457952901	29984.9153745363	4648.52619713735
5	4.0	101174.157373823	30033.1453485267	4564.43531211461
5	5.0	101158.653484458	29859.9227350879	4379.73929645999
5	6.0	101215.2862644525	29996.32204799565	4473.755381599525
5	7.0	101271.919044447	30132.7213609034	4567.77146673906
5	8.0	101240.188123074	30122.1798029672	4533.61145621484
5	9.0	100943.667185674	29754.0836308442	4295.00977929379
5	10.0	100951.897218137	30186.6683716422	4388.53781218394
5	11.0	100970.60288791	30236.6414211292	4326.95500641046
5	12.0	100963.414019761	30163.62277837125	4445.29997213535
5	13.0	100956.225151612	30090.6041356133	4563.64493786024
5	14.0	100902.418712869	29845.8435397595	4694.60163538118
5	15.0	100898.2617385665	29853.85830001385	4728.658651262245
5	16.0	100894.104764264	29861.8730602682	4762.71566714331
5	17.0	100939.721488944	29878.5588723197	4753.3394821793
5	18.0	101181.483454379	30362.3136889079	4550.68694799089
5	19.0	100983.776507583	29889.8078126931	4622.94339044823
5	20.0	100943.562129646	29930.0408025218	4637.12108180038
5	21.0	100903.347751709	29970.273792350497	4651.29877315253
5	22.0	100933.199732599	29949.396164917947	4684.367510529755
5	23.0	100963.051713489	29928.5185374854	4717.43624790698
5	24.0	100961.638692585	29934.28807369405	4700.96712649216
5	25.0	100960.225671681	29940.0576099027	4684.49800507734
5	26.0	101000.8864206665	30045.4126976647	4573.767685199955
5	27.0	101041.547169652	30150.7677854267	4463.03736532257
5	28.0	101106.513283853	29627.2556926762	4268.48374199421
